starNumber,B,V,V_corrected,B-V,B-V_corrected
1,,,,,
2,,,,,
3,11.673,10.964,10.004,0.709,0.409
4,,,,,
5,12.705,11.768,10.808,0.937,0.637
6,13.204,12.029,11.069,1.175,0.875
7,12.707,12.44,11.48,0.267,-0.033
8,,,,,
9,14.188,13.489,12.529,0.699,0.399
10,14.729,13.574,12.614,1.155,0.855
11,14.151,13.664,12.704,0.487,0.187
12,14.26,13.692,12.732,0.568,0.268
13,14.471,13.898,12.938,0.573,0.273
14,15.074,13.891,12.931,1.183,0.883
15,14.591,13.933,12.973,0.658,0.358
16,14.446,13.926,12.966,0.52,0.22
17,,,,,
18,15.119,14.577,13.617,0.542,0.242
19,15.295,14.711,13.751,0.584,0.284
20,15.897,14.961,14.001,0.936,0.636
21,16.152,15.351,14.391,0.801,0.501
22,16.049,15.409,14.449,0.64,0.34
23,16.973,16.265,15.305,0.708,0.408
24,17.088,15.909,14.949,1.179,0.879
25,16.977,16.244,15.284,0.733,0.433
26,17.584,16.186,15.226,1.398,1.098
27,16.87,16.221,15.261,0.649,0.349
28,15.016,13.815,12.855,1.201,0.901
29,17.005,15.612,14.652,1.393,1.093
30,16.976,16.303,15.343,0.673,0.373
31,15.854,15.222,14.262,0.632,0.332
32,17.072,16.343,15.383,0.729,0.429
33,14.012,13.456,12.496,0.556,0.256
34,14.974,14.432,13.472,0.542,0.242
35,14.298,13.125,12.165,1.173,0.873
36,14.674,14.121,13.161,0.553,0.253
37,15.422,14.821,13.861,0.601,0.301
38,16.182,15.596,14.636,0.586,0.286
39,15.489,14.93,13.97,0.559,0.259
40,14.715,14.202,13.242,0.513,0.213
41,16.952,16.266,15.306,0.686,0.386
42,16.679,16.016,15.056,0.663,0.363
43,20.255,18.887,17.927,1.368,1.068
44,14.741,13.593,12.633,1.148,0.848
45,16.526,15.771,14.811,0.755,0.455
46,16.026,15.419,14.459,0.607,0.307
47,17.51,16.788,15.828,0.722,0.422
48,16.912,16.041,15.081,0.871,0.571
49,18.475,17.591,16.631,0.884,0.584
50,17.629,16.973,16.013,0.656,0.356
51,17.186,16.416,15.456,0.77,0.47
52,17.208,16.423,15.463,0.785,0.485
53,18.368,17.551,16.591,0.817,0.517
54,15.818,15.27,14.31,0.548,0.248
55,14.641,14.006,13.046,0.635,0.335
56,14.732,14.111,13.151,0.621,0.321
57,15.838,15.228,14.268,0.61,0.31
58,14.745,13.599,12.639,1.146,0.846
59,17.154,16.147,15.187,1.007,0.707
60,,,,,
61,16.08,15.422,14.462,0.658,0.358
62,15.143,13.998,13.038,1.145,0.845
63,18.655,17.452,16.492,1.203,0.903
64,14.307,13.761,12.801,0.546,0.246
65,15.835,15.279,14.319,0.556,0.256
66,16.277,15.566,14.606,0.711,0.411
67,16.17,15.498,14.538,0.672,0.372
68,14.385,13.225,12.265,1.16,0.86
69,19.373,18.477,17.517,0.896,0.596
70,14.673,13.518,12.558,1.155,0.855
71,12.806,12.455,11.495,0.351,0.051
72,15.619,15.06,14.1,0.559,0.259
73,17.41,16.658,15.698,0.752,0.452
74,17.712,16.769,15.809,0.943,0.643
75,17.944,16.625,15.665,1.319,1.019
76,15.487,14.886,13.926,0.601,0.301
77,14.267,13.723,12.763,0.544,0.244
78,14.51,14.007,13.047,0.503,0.203
79,17.19,16.484,15.524,0.706,0.406
80,16.935,16.277,15.317,0.658,0.358
81,15.51,14.968,14.008,0.542,0.242
82,15.91,15.332,14.372,0.578,0.278
83,14.617,14.092,13.132,0.525,0.225
84,17.084,16.445,15.485,0.639,0.339
