,starNumber,B,V,V_corrected,B-V,B-V_corrected,spectral type
0,1.0,,,,,,[UNK]
1,2.0,,,,,,[UNK]
2,3.0,11.673,10.964,10.004,1.669,1.369,K
3,4.0,,,,,,[UNK]
4,5.0,12.705,11.768,10.808,1.897,1.597,K
5,6.0,13.204,12.029,11.069,2.135,1.835,M
6,7.0,12.707,12.44,11.48,1.227,0.927,G
7,8.0,,,,,,[UNK]
8,9.0,14.188,13.489,12.529,1.659,1.359,K
9,10.0,14.729,13.574,12.614,2.115,1.815,M
10,11.0,14.151,13.664,12.704,1.447,1.147,K
11,12.0,14.26,13.692,12.732,1.528,1.228,K
12,13.0,14.471,13.898,12.938,1.533,1.233,K
13,14.0,15.074,13.891,12.931,2.143,1.843,M
14,15.0,14.591,13.933,12.973,1.618,1.318,K
15,16.0,14.446,13.926,12.966,1.48,1.18,K
16,17.0,,,,,,[UNK]
17,18.0,15.119,14.577,13.617,1.502,1.202,K
18,19.0,15.295,14.711,13.751,1.544,1.244,K
19,20.0,15.897,14.961,14.001,1.896,1.596,K
20,21.0,16.152,15.351,14.391,1.761,1.461,K
21,22.0,16.049,15.409,14.449,1.6,1.3,K
22,23.0,16.973,16.265,15.305,1.668,1.368,K
23,24.0,17.088,15.909,14.949,2.139,1.839,M
24,25.0,16.977,16.244,15.284,1.693,1.393,K
25,26.0,17.584,16.186,15.226,2.358,2.058,M
26,27.0,16.87,16.221,15.261,1.609,1.309,K
27,28.0,15.016,13.815,12.855,2.161,1.861,M
28,29.0,17.005,15.612,14.652,2.353,2.053,M
29,30.0,16.976,16.303,15.343,1.633,1.333,K
30,31.0,15.854,15.222,14.262,1.592,1.292,K
31,32.0,17.072,16.343,15.383,1.689,1.389,K
32,33.0,14.012,13.456,12.496,1.516,1.216,K
33,34.0,14.974,14.432,13.472,1.502,1.202,K
34,35.0,14.298,13.125,12.165,2.133,1.833,M
35,36.0,14.674,14.121,13.161,1.513,1.213,K
36,37.0,15.422,14.821,13.861,1.561,1.261,K
37,38.0,16.182,15.596,14.636,1.546,1.246,K
38,39.0,15.489,14.93,13.97,1.519,1.219,K
39,40.0,14.715,14.202,13.242,1.473,1.173,K
40,41.0,16.952,16.266,15.306,1.646,1.346,K
41,42.0,16.679,16.016,15.056,1.623,1.323,K
42,43.0,20.255,18.887,17.927,2.328,2.028,M
43,44.0,14.741,13.593,12.633,2.108,1.808,M
44,45.0,16.526,15.771,14.811,1.715,1.415,K
45,46.0,16.026,15.419,14.459,1.567,1.267,K
46,47.0,17.51,16.788,15.828,1.682,1.382,K
47,48.0,16.912,16.041,15.081,1.831,1.531,K
48,49.0,18.475,17.591,16.631,1.844,1.544,K
49,50.0,17.629,16.973,16.013,1.616,1.316,K
50,51.0,17.186,16.416,15.456,1.73,1.43,K
51,52.0,17.208,16.423,15.463,1.745,1.445,K
52,53.0,18.368,17.551,16.591,1.777,1.477,K
53,54.0,15.818,15.27,14.31,1.508,1.208,K
