,starNumber,B,V,B-V,V_corrected,B-V_corrected
0,1,,,,,
1,2,,,,,
2,3,11.673,10.964,0.7089999999999996,10.004000000000001,0.40899999999999964
3,4,,,,,
4,5,12.705,11.768,0.9369999999999994,10.808,0.6369999999999993
5,6,13.204,12.029,1.1750000000000007,11.068999999999999,0.8750000000000007
6,7,12.707,12.44,0.26700000000000124,11.48,-0.03299999999999875
7,8,,,,,
8,9,14.188,13.489,0.6989999999999998,12.529,0.39899999999999985
9,10,14.729,13.574,1.1549999999999994,12.614,0.8549999999999993
10,11,14.151,13.664,0.4870000000000001,12.704,0.1870000000000001
11,12,14.26,13.692,0.5679999999999996,12.732,0.2679999999999996
12,13,14.471,13.898,0.5730000000000004,12.937999999999999,0.2730000000000004
13,14,15.074,13.891,1.1829999999999998,12.931000000000001,0.8829999999999998
14,15,14.591,13.933,0.6579999999999995,12.972999999999999,0.3579999999999995
15,16,14.446,13.926,0.5199999999999996,12.966000000000001,0.21999999999999958
16,17,,,,,
17,18,15.119,14.577,0.5419999999999998,13.617,0.24199999999999983
18,19,15.295,14.711,0.5839999999999996,13.751000000000001,0.28399999999999964
19,20,15.897,14.961,0.9359999999999999,14.001000000000001,0.6359999999999999
20,21,16.152,15.351,0.8010000000000002,14.391000000000002,0.5010000000000001
21,22,16.049,15.409,0.6399999999999988,14.449000000000002,0.3399999999999988
22,23,16.973,16.265,0.7079999999999984,15.305,0.4079999999999984
23,24,17.088,15.909,1.1790000000000003,14.949000000000002,0.8790000000000002
24,25,16.977,16.244,0.7330000000000005,15.283999999999999,0.43300000000000055
25,26,17.584,16.186,1.3979999999999997,15.225999999999999,1.0979999999999996
26,27,16.87,16.221,0.6490000000000009,15.261,0.3490000000000009
27,28,15.016,13.815,1.2010000000000005,12.855,0.9010000000000005
28,29,17.005,15.612,1.392999999999999,14.652000000000001,1.0929999999999989
29,30,16.976,16.303,0.6729999999999983,15.343,0.3729999999999983
30,31,15.854,15.222,0.6319999999999997,14.262,0.3319999999999997
31,32,17.072,16.343,0.7289999999999992,15.383,0.4289999999999992
32,33,14.012,13.456,0.5560000000000009,12.495999999999999,0.25600000000000095
33,34,14.974,14.432,0.5419999999999998,13.472000000000001,0.24199999999999983
34,35,14.298,13.125,1.173,12.165,0.873
35,36,14.674,14.121,0.552999999999999,13.161000000000001,0.25299999999999906
36,37,15.422,14.821,0.6010000000000009,13.861,0.3010000000000009
37,38,16.182,15.596,0.5859999999999985,14.636,0.28599999999999853
38,39,15.489,14.93,0.559000000000001,13.969999999999999,0.25900000000000106
39,40,14.715,14.202,0.5129999999999999,13.242,0.2129999999999999
40,41,16.952,16.266,0.6860000000000035,15.305999999999997,0.3860000000000035
41,42,16.679,16.016,0.6630000000000003,15.055999999999997,0.36300000000000027
42,43,20.255,18.887,1.3679999999999986,17.927,1.0679999999999985
43,44,14.741,13.593,1.1479999999999997,12.633,0.8479999999999996
44,45,16.526,15.771,0.754999999999999,14.811,0.454999999999999
45,46,16.026,15.419,0.6069999999999993,14.459,0.30699999999999933
46,47,17.51,16.788,0.7220000000000013,15.828,0.4220000000000013
47,48,16.912,16.041,0.8709999999999987,15.081,0.5709999999999986
48,49,18.475,17.591,0.8840000000000003,16.631,0.5840000000000003
49,50,17.629,16.973,0.6560000000000024,16.012999999999998,0.35600000000000237
50,51,17.186,16.416,0.7699999999999996,15.456,0.4699999999999996
51,52,17.208,16.423,0.7850000000000001,15.462999999999997,0.48500000000000015
52,53,18.368,17.551,0.8170000000000002,16.590999999999998,0.5170000000000001
53,54,15.818,15.27,0.548,14.309999999999999,0.24800000000000005
54,55,14.641,14.006,0.6349999999999998,13.046,0.3349999999999998
55,56,14.732,14.111,0.6209999999999987,13.151,0.3209999999999987
56,57,15.838,15.228,0.6099999999999994,14.268,0.30999999999999944
57,58,14.745,13.599,1.145999999999999,12.639,0.845999999999999
58,59,17.154,16.147,1.0070000000000014,15.186999999999998,0.7070000000000014
59,60,,,,,
60,61,16.08,15.422,0.6579999999999977,14.462,0.3579999999999977
61,62,15.143,13.998,1.1450000000000014,13.038,0.8450000000000013
62,63,18.655,17.452,1.2029999999999994,16.492,0.9029999999999994
63,64,14.307,13.761,0.5460000000000012,12.800999999999998,0.24600000000000116
64,65,15.835,15.279,0.5560000000000009,14.318999999999999,0.25600000000000095
65,66,16.277,15.566,0.7110000000000003,14.606000000000002,0.4110000000000003
66,67,16.17,15.498,0.6720000000000024,14.538,0.3720000000000024
67,68,14.385,13.225,1.1600000000000001,12.265,0.8600000000000001
68,69,19.373,18.477,0.8960000000000008,17.517,0.5960000000000008
69,70,14.673,13.518,1.1549999999999994,12.558,0.8549999999999993
70,71,12.806,12.455,0.3509999999999991,11.495000000000001,0.0509999999999991
71,72,15.619,15.06,0.5589999999999993,14.100000000000001,0.2589999999999993
72,73,17.41,16.658,0.7519999999999989,15.698,0.4519999999999989
73,74,17.712,16.769,0.9430000000000014,15.808999999999997,0.6430000000000013
74,75,17.944,16.625,1.318999999999999,15.665,1.018999999999999
75,76,15.487,14.886,0.6010000000000009,13.925999999999998,0.3010000000000009
76,77,14.267,13.723,0.5439999999999987,12.763000000000002,0.24399999999999872
77,78,14.51,14.007,0.5030000000000001,13.047,0.20300000000000012
78,79,17.19,16.484,0.7059999999999995,15.524000000000001,0.40599999999999953
79,80,16.935,16.277,0.6579999999999977,15.317,0.3579999999999977
80,81,15.51,14.968,0.5419999999999998,14.008,0.24199999999999983
81,82,15.91,15.332,0.5779999999999994,14.372,0.2779999999999994
82,83,14.617,14.092,0.5250000000000004,13.132000000000001,0.22500000000000037
83,84,17.084,16.445,0.6389999999999993,15.485,0.33899999999999936
84,85,19.004,17.794,1.2100000000000009,16.834,0.9100000000000008
85,86,14.865,13.999,0.8659999999999997,13.039000000000001,0.5659999999999996
86,87,16.562,15.879,0.6830000000000016,14.919,0.3830000000000016
87,88,19.599,18.222,1.376999999999999,17.262,1.0769999999999988
88,89,16.044,15.422,0.6219999999999999,14.462,0.3219999999999999
89,90,14.956,14.424,0.532,13.463999999999999,0.23200000000000004
90,91,14.65,14.094,0.5560000000000009,13.134,0.25600000000000095
91,92,14.175,13.629,0.5460000000000012,12.669,0.24600000000000116
92,93,18.367,16.482,1.8850000000000016,15.521999999999998,1.5850000000000015
93,94,14.727,14.199,0.5280000000000005,13.239,0.22800000000000048
94,95,16.71,16.061,0.6490000000000009,15.100999999999999,0.3490000000000009
95,96,15.645,15.051,0.5939999999999994,14.091000000000001,0.29399999999999943
96,97,17.014,16.333,0.6810000000000009,15.372999999999998,0.38100000000000095
97,98,18.34,17.035,1.3049999999999997,16.075,1.0049999999999997
98,99,14.639,14.161,0.47799999999999976,13.201,0.17799999999999977
99,100,18.35,17.506,0.8440000000000012,16.546,0.5440000000000011
100,101,18.806,17.584,1.2220000000000013,16.624,0.9220000000000013
101,102,17.922,16.841,1.0809999999999995,15.881,0.7809999999999995
102,103,13.838,13.352,0.4859999999999989,12.392,0.1859999999999989
103,104,14.196,13.36,0.8360000000000003,12.399999999999999,0.5360000000000003
104,105,17.563,16.823,0.7399999999999984,15.863,0.43999999999999845
105,106,15.335,14.807,0.5280000000000005,13.847000000000001,0.22800000000000048
106,107,16.138,15.537,0.6010000000000009,14.577000000000002,0.3010000000000009
107,108,15.076,14.528,0.548,13.568000000000001,0.24800000000000005
108,109,15.545,14.956,0.5890000000000004,13.995999999999999,0.2890000000000004
109,110,15.369,14.862,0.5069999999999997,13.902000000000001,0.20699999999999968
110,111,14.691,14.189,0.5020000000000007,13.229,0.20200000000000068
111,112,16.359,15.737,0.6220000000000017,14.777000000000001,0.3220000000000017
